"Active","Активно"
"Add HolestPay Status Column","Додај HolestPay Статус Колону"
"Add to Cart","Додај у Корпу"
"Admin","Администрација"
"All Countries","Све Земље"
"Allow Specific Countries","Дозволи Специфичне Земље"
"Amount","Износ"
"API Configuration","API Конфигурација"
"API Error","API Грешка"
"API Key","API Кључ"
"API Response","API Одговор"
"API URL","API URL"
"Apply","Примени"
"Back","Назад"
"Cancel","Откажи"
"Canceled","Отказано"
"Card Number","Број Картице"
"Checkout","Плаћање"
"City","Град"
"Clear Quote","Очисти Понуду"
"Configuration","Конфигурација"
"Country","Земља"
"Create Order","Креирај Поруджбину"
"Credit Card","Кредитна Картица"
"Currency","Валута"
"Customer","Купац"
"Database","База Података"
"Debug","Debug"
"Default","Подразумевано"
"Delete","Обриши"
"Description","Опис"
"Disabled","Онемогућено"
"Edit","Уреди"
"Email","Email"
"Enabled","Омогућено"
"Environment","Окружење"
"Error","Грешка"
"Failed","Неуспешно"
"First Name","Име"
"Footer Logotypes","Footer Логотипи"
"General","Опште"
"HolestPay","HolestPay"
"HolestPay Configuration","HolestPay Конфигурација"
"HolestPay Order Status","HolestPay Статус Поруджбине"
"HolestPay Payment Gateway","HolestPay Payment Gateway"
"HolestPay Status","HolestPay Статус"
"HolestPay UID","HolestPay UID"
"Install","Инсталирај"
"Invalid","Неважеће"
"Last Name","Презиме"
"Live","Продукција"
"Loading","Учитавање"
"Log","Log"
"Manage All Orders","Управљај Свим Поруджбинама"
"Merchant Site UID","Merchant Site UID"
"Message","Порука"
"Minimum Order Total","Минимални Износ Поруджбине"
"Module","Модул"
"Name","Име"
"New Order Status","Нови Статус Поруджбине"
"No","Не"
"Order","Поруджбина"
"Order ID","ID Поруджбине"
"Order Status","Статус Поруджбине"
"Order Total","Укупан Износ Поруджбине"
"Payment","Плаћање"
"Payment Method","Начин Плаћања"
"Payment Status","Статус Плаћања"
"Phone","Телефон"
"Please wait...","Молимо сачекајте..."
"Processing","Обрађује се"
"Quantity","Количина"
"Refresh","Освежи"
"Remove","Уклони"
"Required","Обавезно"
"Save","Сачувај"
"Sandbox","Тест"
"Secret Key","Тајни Кључ"
"Select","Изабери"
"Settings","Подешавања"
"Shipping","Достава"
"Sort Order","Редослед Сортирања"
"Specific Countries","Специфичне Земље"
"Status","Статус"
"Success","Успешно"
"Title","Наслов"
"Total","Укупно"
"Uninstall","Деинсталирај"
"Update","Ажурирај"
"View","Преглед"
"Yes","Да"
"Captured amount","Ухваћени износ"
"Company Name","Назив компаније"
"Company Register ID","ID у регистру компаније"
"Company Tax ID","Порески ID компаније"
"Error in payment request","Грешка у захтеву за плаћање. Молимо проверите ваш email и контактирајте нас!"
"Installments","Рате"
"Installments grace months","Месеци одлагања рата"
"No payment response","Није примљен валидан одговор за плаћање. Можете покушати поново!"
"Ordering as a company?","Наручујете као компанија?"
"Payment error","Грешка у плаћању"
"Payment failed","Плаћање неуспешно"
"Payment failed, you can try again","Плаћање неуспешно, можете покушати поново..."
"Payment has failed","Плаћање је неуспешно. Можете покушати поново!"
"Payment refused","Плаћање одбијено"
"Payment refused, you can try again","Плаћање одбијено, можете покушати поново..."
"Recurring interval","Интервал понављања"
"Recurring interval value","Вредност интервала понављања"
"Recurring total payments","Укупан број понављајућих плаћања"
"Refunded amount","Износ повраћаја"
"Try to pay again","Покушајте поново да платите..."
"error","Грешка"
"error_contact_us","Грешка, молимо контактирајте нас за помоћ."
"remove_token_confirm","Молимо потврдите да желите да уклоните референцу токена за плаћање. Ако имате претплате код нас, могу бити прекинуте ако не успемо да вам наплатимо за следећи период наплате."
"result","Резултат"
"Debug Mode","Режим Debug-а"
"Enable detailed logging for debugging purposes. When disabled, only errors will be logged.","Омогући детаљно логирање за дебаговање. Када је онемогућено, само грешке ће бити логиране."
